bucket_id,modularity
1,0.6158639926558866
2,0.41028370510152934
3,0.7924907472784988
4,0.7976190476190488
5,0.9230073226159433
6,0.9401828746452872
7,0.7592031604308394
8,0.5332714763397008
9,0.7776398383004489
10,0.6241142290249443
11,0.8690202868004077
12,1.0
13,0.28571428571428575
14,0.6002211238293444
15,0.49438898877797793
16,0.56559524849332
17,0.5630820507793354
18,0.9663434903047079
19,0.6669633321466714
20,0.828712086917156
21,0.747188671386922
22,0.7525773195876291
23,0.6401384083044983
24,0.35714285714285715
25,0.37884297520661225
26,0.7582608695652181
27,0.7131190926276011
28,0.8827314013840837
29,0.8980431664503797
30,0.7391760386923837
31,0.8310870740941052
32,0.752867365944515
33,0.7779681381274447
34,0.6591762857728303
35,0.6565642056880219
36,0.28571428571428575
37,0.38461538461538464
38,0.4285714285714286
39,0.7847937477356265
40,0.7821150519031151
41,0.7355391860886382
42,0.776533333333332
43,0.8201346685622352
44,0.7545557655954644
45,0.6734848370149443
46,0.9101301372572301
47,0.7812602349590587
48,0.5813127518612127
49,0.45981096408317684
50,0.4545454545454545
51,0.8785265088654067
52,0.8796322336398065
53,0.7659274500838272
54,0.5079571067550032
55,0.8128590922148818
56,0.9131169512266181
57,0.8025931055709429
58,0.699699699699699
59,0.746527883764233
60,0.6919988102320047
61,0.7162403331350385
62,0.9444444444444444
63,0.6875
64,0.66
65,0.6189012452032263
66,0.6004946811719509
67,0.7802043735180134
68,0.675432006010519
69,0.8747397924896307
70,0.9417569404850651
71,0.736143667296789
72,0.8249586776859512
73,0.7146832806664754
74,0.6803780131482826
75,0.677324459876544
76,0.40816326530612257
77,0.5646258503401359
78,0.5736961451247165
79,0.778657041047711
80,0.7644383588439546
81,0.743413428107854
82,0.7398631198347083
83,0.7910479093838166
84,0.877004166140638
85,0.7641556165218693
86,0.6580183340878217
87,0.7440498997549542
88,0.860648629899411
89,0.8486685032139557
90,0.5972222222222222
91,0.5
92,0.6616806327825199
93,0.7826378926162215
94,0.7728837096968976
95,0.8106083923258441
96,0.5661231030257329
97,0.6430810925709437
98,0.6108798705052609
99,0.5845640359168227
100,0.9079550187421902
