src_id,src_cluster,dst_id,dst_cluster,bucket_id
151,1,280,2,1
80,2,291,2,1
279,2,117,2,1
279,2,118,2,1
279,2,7,2,1
90,0,183,0,1
90,0,258,0,1
90,0,97,0,1
90,0,274,0,1
90,0,300,0,1
90,0,33,0,1
90,0,262,0,1
90,0,82,0,1
90,0,88,0,1
90,0,264,0,1
90,0,74,0,1
90,0,186,0,1
90,0,93,0,1
90,0,39,0,1
90,0,75,0,1
90,0,199,0,1
90,0,220,0,1
90,0,306,0,1
90,0,15,0,1
90,0,230,0,1
90,0,143,0,1
90,0,98,0,1
90,0,77,0,1
90,0,167,0,1
90,0,43,0,1
90,0,48,0,1
90,0,23,0,1
90,0,150,0,1
90,0,99,0,1
90,0,281,0,1
18,2,28,1,1
38,0,231,0,1
269,0,300,0,1
269,0,230,0,1
269,0,274,0,1
269,0,75,0,1
269,0,33,0,1
269,0,93,0,1
299,2,83,2,1
299,2,108,2,1
299,2,228,2,1
299,2,101,2,1
299,2,252,2,1
299,2,279,2,1
299,2,304,2,1
299,2,301,2,1
299,2,118,2,1
160,0,159,2,1
160,0,60,2,1
160,0,317,2,1
160,0,103,2,1
160,0,63,2,1
160,0,249,2,1
253,2,271,2,1
21,0,145,0,1
112,0,161,0,1
120,0,78,0,1
184,0,240,0,1
184,0,79,0,1
184,0,161,0,1
184,0,295,0,1
184,0,267,0,1
283,0,79,0,1
33,0,230,0,1
69,0,223,0,1
306,0,90,0,1
306,0,59,0,1
306,0,97,0,1
306,0,230,0,1
176,1,225,2,1
26,1,121,2,1
26,1,307,2,1
26,1,30,2,1
26,1,152,2,1
26,1,174,2,1
26,1,81,2,1
26,1,53,2,1
26,1,208,2,1
26,1,223,0,1
26,1,127,2,1
26,1,9,2,1
26,1,180,2,1
26,1,285,2,1
26,1,18,2,1
26,1,191,2,1
26,1,4,2,1
26,1,12,2,1
26,1,298,2,1
26,1,69,0,1
26,1,64,2,1
26,1,256,2,1
26,1,280,2,1
26,1,225,2,1
230,0,59,0,1
230,0,306,0,1
230,0,97,0,1
230,0,23,0,1
230,0,33,0,1
230,0,150,0,1
230,0,32,0,1
230,0,274,0,1
230,0,183,0,1
230,0,82,0,1
230,0,88,0,1
230,0,74,0,1
230,0,15,0,1
230,0,169,0,1
230,0,281,0,1
230,0,143,0,1
230,0,264,0,1
230,0,90,0,1
158,2,101,2,1
158,2,83,2,1
158,2,202,2,1
158,2,162,2,1
158,2,45,2,1
158,2,315,2,1
158,2,25,2,1
28,1,4,2,1
28,1,285,2,1
79,0,283,0,1
262,0,74,0,1
161,0,184,0,1
161,0,112,0,1
132,0,50,0,1
132,0,314,0,1
132,0,267,0,1
132,0,295,0,1
132,0,38,0,1
132,0,85,0,1
132,0,257,0,1
132,0,134,0,1
132,0,16,0,1
132,0,238,0,1
132,0,6,0,1
132,0,120,0,1
132,0,311,0,1
132,0,203,0,1
132,0,161,0,1
132,0,112,0,1
132,0,133,0,1
132,0,266,0,1
132,0,240,0,1
132,0,27,0,1
132,0,110,0,1
132,0,310,0,1
132,0,71,0,1
132,0,17,0,1
132,0,261,0,1
132,0,218,0,1
132,0,283,0,1
132,0,2,0,1
132,0,79,0,1
132,0,3,0,1
132,0,145,0,1
132,0,184,0,1
132,0,78,0,1
132,0,284,0,1
83,2,52,2,1
83,2,158,2,1
83,2,228,2,1
273,2,233,2,1
273,2,276,2,1
108,2,252,2,1
78,0,238,0,1
97,0,230,0,1
310,0,184,0,1
249,2,160,0,1
7,2,279,2,1
7,2,144,2,1
88,0,82,0,1
88,0,258,0,1
151,1,280,0,2
80,2,291,2,2
279,0,117,0,2
279,0,118,0,2
279,0,7,0,2
90,1,183,1,2
90,1,258,1,2
90,1,97,1,2
90,1,274,1,2
90,1,300,1,2
90,1,33,1,2
90,1,262,1,2
90,1,82,1,2
90,1,88,1,2
90,1,264,1,2
90,1,74,1,2
90,1,186,1,2
90,1,93,1,2
90,1,39,1,2
90,1,75,1,2
90,1,199,1,2
90,1,220,1,2
90,1,306,1,2
90,1,15,1,2
90,1,230,1,2
90,1,143,1,2
90,1,98,1,2
90,1,77,1,2
90,1,167,1,2
90,1,43,1,2
90,1,48,1,2
90,1,23,1,2
90,1,150,1,2
90,1,99,1,2
90,1,281,1,2
18,0,28,1,2
38,0,231,1,2
269,1,300,1,2
269,1,230,1,2
269,1,274,1,2
269,1,75,1,2
269,1,33,1,2
269,1,93,1,2
299,0,83,0,2
299,0,108,0,2
299,0,228,0,2
299,0,101,0,2
299,0,252,0,2
299,0,279,0,2
299,0,304,0,2
299,0,301,0,2
299,0,118,0,2
160,1,159,0,2
160,1,60,0,2
160,1,317,0,2
160,1,103,0,2
160,1,63,0,2
160,1,249,0,2
253,2,271,2,2
21,1,145,0,2
112,1,161,0,2
120,0,78,1,2
184,1,240,0,2
184,1,79,0,2
184,1,161,0,2
184,1,295,0,2
184,1,267,0,2
283,1,79,0,2
33,1,230,1,2
69,1,223,1,2
306,1,90,1,2
306,1,59,1,2
306,1,97,1,2
306,1,230,1,2
176,1,225,0,2
26,1,121,0,2
26,1,307,0,2
26,1,30,0,2
26,1,152,0,2
26,1,174,0,2
26,1,81,0,2
26,1,53,0,2
26,1,208,0,2
26,1,223,1,2
26,1,127,0,2
26,1,9,0,2
26,1,180,0,2
26,1,285,0,2
26,1,18,0,2
26,1,191,0,2
26,1,4,0,2
26,1,12,0,2
26,1,298,0,2
26,1,69,1,2
26,1,64,0,2
26,1,256,0,2
26,1,280,0,2
26,1,225,0,2
225,0,26,1,2
230,1,59,1,2
230,1,306,1,2
230,1,97,1,2
230,1,23,1,2
230,1,33,1,2
230,1,150,1,2
230,1,32,1,2
230,1,274,1,2
230,1,183,1,2
230,1,82,1,2
230,1,88,1,2
230,1,74,1,2
230,1,15,1,2
230,1,169,1,2
230,1,281,1,2
230,1,143,1,2
230,1,264,1,2
230,1,90,1,2
158,0,101,0,2
158,0,83,0,2
158,0,202,0,2
158,0,162,0,2
158,0,45,0,2
158,0,315,0,2
158,0,25,0,2
28,1,4,0,2
28,1,285,0,2
79,0,283,1,2
262,1,74,1,2
